Piramidal,Cuadrantes,Piramidal Invertida,Control,Cardinal,
67.6,68.09,67.85, ,67.92,
67.6,68.11,67.8, ,68.08,
67.72,68.18,67.95, ,68.09,
67.75,68.26,67.97, ,68.09,
67.88,68.28,68.03, ,68.16,
67.89,68.38,68.07, ,68.22,
67.92,68.38,68.13, ,68.33,
68.05,68.44,68.2, ,68.36,
68.33,51.37,68.47, ,68.44,
68.45,51.51,68.4, ,51.03,
68.48,51.52,68.4, ,51.51,
68.61,51.57,51.51, ,51.51,
51.16,51.57,51.56, ,51.57,
51.43,52.02,51.57, ,51.57,
51.51,52.27,51.57, ,51.57,
51.51,53.6,51.57, ,51.57,
51.57,66.4,51.57, ,51.57,
51.57,66.95,51.57, ,51.57,
51.57,67.14,51.57, ,51.57,
51.57,67.22,51.57, ,51.57,
51.57,67.62,51.57, ,51.57,
51.57,67.7,51.57, ,51.57,
51.57,67.83,51.57, ,51.57,
51.57,67.93,51.57, ,51.67,
51.57,67.99,51.57, ,51.67,
51.57,68.03,51.57, ,51.73,
51.57,68.04,51.57, ,51.95,
51.57,68.0,51.57, ,52.14,
51.57,68.16,51.57, ,53.35,
51.57,68.19,51.57, ,55.18,
51.57,68.42,51.57, ,65.42,
51.57,68.52,51.57, ,66.17,
51.57,68.55,51.57, ,67.03,
51.57,68.58,51.57, ,67.04,
51.57,68.62,51.57, ,67.24,
51.57,68.67,51.57, ,67.29,
51.57,68.69,51.57, ,67.65,
51.57,68.79,51.57, ,67.79,
51.57,68.84,51.57, ,68.08,
51.57,68.88,51.57, ,68.1,
51.57,68.8,51.57, ,68.26,
51.57,68.92,51.57, ,68.29,
51.57,68.93,51.57, ,68.35,
51.57,69.09,51.57, ,68.39,
51.57,69.11,51.57, ,68.41,
51.57,69.11,51.57, ,68.42,
51.57,69.1,51.57, ,68.64,
51.57,69.1,51.67, ,68.78,
51.57,69.21,51.67, ,68.87,
51.57,69.21,52.31, ,69.05,
51.57,69.27,52.52, ,69.11,
51.57,69.31,53.78, ,69.12,
51.57,69.34,64.1, ,69.19,
51.57,69.35,66.26, ,69.19,
51.57,69.42,67.6, ,69.24,
51.57,69.43,68.36, ,69.25,
51.57,69.57,68.57, ,69.34,
51.57,69.57,68.6, ,69.35,
51.57,69.63,68.77, ,69.39,
51.57,69.63,68.7, ,69.52,
51.57,69.65,69.08, ,69.54,
52.0,69.67,69.11, ,69.54,
52.55,69.71,69.13, ,69.58,
61.53,69.74,69.36, ,69.62,
66.72,69.81,69.52, ,69.65,
67.49,69.95,69.64, ,69.69,
67.81,70.04,69.67, ,69.77,
68.37,51.51,69.7, ,69.79,
68.66,51.57,69.94, ,51.03,
68.6,51.57,70.1, ,51.57,
68.72,51.57,51.51, ,51.57,
68.72,51.57,51.57, ,51.57,
68.91,51.57,51.57, ,51.57,
51.55,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.7,51.57, ,51.57,
51.57,53.09,51.57, ,51.57,
51.57,53.72,51.57, ,51.57,
51.57,54.75,51.57, ,51.57,
51.57,55.05,51.57, ,51.57,
51.57,55.17,51.57, ,51.57,
51.57,55.82,51.57, ,51.57,
51.57,56.61,51.57, ,51.57,
51.57,57.09,51.57, ,51.57,
51.57,57.13,51.57, ,51.57,
51.57,57.95,51.57, ,51.57,
51.57,63.44,51.57, ,51.57,
51.57,65.7,51.57, ,51.57,
51.57,66.26,51.57, ,51.57,
51.57,66.43,51.57, ,51.57,
51.57,66.91,51.57, ,51.67,
51.57,67.0,51.57, ,51.67,
51.57,67.66,51.57, ,51.67,
51.57,67.74,51.57, ,51.72,
51.57,68.02,51.57, ,53.09,
51.57,68.03,51.57, ,53.56,
51.57,68.03,51.57, ,53.72,
51.57,68.0,51.57, ,55.21,
51.57,68.15,51.57, ,55.82,
51.57,68.1,51.57, ,56.96,
51.57,68.25,51.57, ,57.13,
51.57,68.47,51.57, ,58.65,
51.57,68.72,51.57, ,59.48,
51.57,68.75,51.57, ,59.75,
51.57,69.08,51.57, ,63.84,
51.57,69.12,51.57, ,66.04,
51.57,69.13,51.57, ,67.22,
51.57,69.32,51.57, ,68.07,
51.57,69.36,51.57, ,68.42,
51.57,69.41,51.57, ,68.74,
51.57,69.51,51.57, ,68.99,
51.57,69.54,51.57, ,69.18,
51.57,69.55,51.57, ,69.61,
51.57,69.58,51.57, ,69.68,
51.57,69.61,51.57, ,69.93,
51.57,69.68,52.65, ,70.07,
51.57,69.8,53.09, ,70.11,
52.09,70.17,53.72, ,70.1,
52.6,70.21,54.47, ,70.29,
53.09,70.22,54.8, ,70.51,
53.09,70.24,55.21, ,70.58,
53.37,70.24,55.67, ,70.64,
53.72,70.28,55.82, ,70.67,
54.8,70.2,56.61, ,70.67,
55.21,70.41,57.95, ,70.69,
55.82,70.44,61.35, ,70.75,
56.61,70.46,66.53, ,70.77,
57.13,70.51,67.75, ,70.84,
57.95,70.57,69.43, ,71.38,
58.65, ,69.48, , ,
66.86, ,70.26, , ,
66.95, ,71.11, , ,
68.28, ,71.13, , ,
69.42, , , , ,
69.91, , , , ,
